img	comment	related text	question	answer
07635-89d_stil.jpg	The attribution of this still-life to Caravaggio is doubtful.From a thematic point of view, large scale still-lifes in the Galleria Borghese are similar to outstanding early works by Caravaggio, but they lack the brilliance and the concentration on individual objects. This painting and another are usually attributed to Caravaggio. Because it is rather unconvincing to attribute such work to Caravaggio, some scholars distinguish this Caravaggesque painter of still-lifes from the master by naming him - after a splendid example of the genre - the Painter of the Still-Life in the Wadsworth Athenaeum, Hartford.			
		From a thematic point of view, large scale still-lifes in the Galleria Borghese are similar to outstanding early works by Caravaggio, but they lack the brilliance and the concentration on individual objects.	What lack the brilliance and the concentration on individual objects?	they
		From a thematic point of view, large scale still-lifes in the Galleria Borghese are similar to outstanding early works by Caravaggio, but they lack the brilliance and the concentration on individual objects.	Who are large scale still-lifes in the Galleria Borghese similar to outstanding early works by from a thematic point of view?	by Caravaggio
		From a thematic point of view, large scale still-lifes in the Galleria Borghese are similar to outstanding early works by Caravaggio, but they lack the brilliance and the concentration on individual objects.	What do large scale still-lifes in the Galleria Borghese lack?	the brilliance and the concentration on individual objects
		From a thematic point of view, large scale still-lifes in the Galleria Borghese are similar to outstanding early works by Caravaggio, but they lack the brilliance and the concentration on individual objects.	What are large scale still-lifes in the Galleria Borghese similar to by Caravaggio from a thematic point of view?	to outstanding early works
		From a thematic point of view, large scale still-lifes in the Galleria Borghese are similar to outstanding early works by Caravaggio, but they lack the brilliance and the concentration on individual objects.	Who lack the brilliance and the concentration on individual objects?	large scale still-lifes in the Galleria Borghese
		The attribution of this still-life to Caravaggio is doubtful.	What is doubtful?	the attribution of this still-life to Caravaggio
07847-051cruci.jpg	This is one of the last works entirely by Carpaccio. The painting divides critics: some see it as little more than a virtuoso exercise, while other praise it for its great breadth and spectacular effects			
		The painting divides critics: some see it as little more than a virtuoso exercise, while other praise it for its great breadth and spectacular effects	What praise the painting for its great breadth and spectacular effects?	other
		This is one of the last works entirely by Carpaccio.	What is one of the last works entirely by Carpaccio?	this
		The painting divides critics: some see it as little more than a virtuoso exercise, while other praise it for its great breadth and spectacular effects	What do other praise the painting for?	for its great breadth and spectacular effects
		The painting divides critics: some see it as little more than a virtuoso exercise, while other praise it for its great breadth and spectacular effects	What do other praise for its great breadth and spectacular effects?	the painting
17237-5portra5.jpg	Catalogue numbers: F 541, JH 1893.Working from the large-format portrait drawing that Gauguin left in Arles at the end of December 1888, van Gogh returned to the subject of the Arl�sienne in January 1890, simultaneously drawing on his reinterpretation of Madame Ginoux with Books of 1888 (F 488). As yet untitled in the painting of that year, the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens's A Christmas Carol.Four of the five original variants of the portrait survived, they are in the Rijksmuseum Kr�ller-M�ller, Otterlo, in the Galleria Nazionale d'Arte Moderna e Contemporanea, Rome, in the Museu de Arte, S&#227;o Paulo, and in a private collection			
		As yet untitled in the painting of that year, the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens's A Christmas Carol.	What does the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens's?	A Christmas Carol
		As yet untitled in the painting of that year, the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens's A Christmas Carol.	What are the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens untitled in year?	in the painting of that
		As yet untitled in the painting of that year, the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens's A Christmas Carol.	What's A Christmas Carol?	the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens
		As yet untitled in the painting of that year, the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens's A Christmas Carol.	What are untitled in the painting of that year?	the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens
		As yet untitled in the painting of that year, the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens's A Christmas Carol.	When are the books accompanying Madame Ginoux in subsequent variant all bear the same two titles: Harriet Beecher-Stove's Uncle Tom's Cabin and Charles Dickens untitled in the painting of that?	year
35952-4amster1.jpg	Genre painting in Holland embraced all areas of life: scenes from daily life, domestic interiors, still-lifes, seascapes, landscapes, architectural views and urban scenes. The Dutch were proud of their nation and its many different faces, and genre paintings were in great demand amongst the middle and upper classes. Like many artists, Saenredam chose to specialize - in his case, in paintings of architecture ranging from urban views and famous buildings to church interiors			
		Like many artists, Saenredam chose to specialize- in his case, in paintings of architecture ranging from urban views and famous buildings to church interiors	Who chose to specialize?	Saenredam
		The Dutch were proud of their nation and its many different faces, and genre paintings were in great demand amongst the middle and upper classes.	What were the Dutch proud of?	of their nation and genre painting in Holland's many different faces
		The Dutch were proud of their nation and its many different faces, and genre paintings were in great demand amongst the middle and upper classes.	What were genre paintings in amongst the middle and upper classes?	in great demand
		The Dutch were proud of their nation and its many different faces, and genre paintings were in great demand amongst the middle and upper classes.	What were genre paintings in great demand amongst?	amongst the middle and upper classes
		The Dutch were proud of their nation and its many different faces, and genre paintings were in great demand amongst the middle and upper classes.	What were the Dutch?	proud of their nation and genre painting in Holland's many different faces
		The Dutch were proud of their nation and its many different faces, and genre paintings were in great demand amongst the middle and upper classes.	What were in great demand amongst the middle and upper classes?	genre paintings
10998-307david.jpg	When David was released from the Luxembourg prison at the end of December 1794, he became ill and so requested permission from the Convention to visit his wife's sister and her husband, Emilie and Pierre S�riziat, at their country house in Saint Ouen, near Tournan-en-Brie, about 32 km (20 miles) east of Paris. This visit was cut short by the accusations of May 1795 and arrest, but he returned there, accompanied by a guard, to recuperate after his second and final release in August. He then painted the portraits of his hosts. Madame S�riziat is shown in an interior setting with her young son, having just returned from a walk. Her cheeks are ruddy and she carries a recently picked bunch of wild flowers which are painted in a lively but meticulous manner.These two portraits were testaments of friendship and, by showing them at the 1795 Salon, he could prove that he was still able to paint after his ordeals			
		This visit was cut short by the accusations of May 1795 and arrest, but he returned there, accompanied by a guard, to recuperate after his second and final release in August.	What was cut short by the accusations of May 1795 and arrest?	this visit
		This visit was cut short by the accusations of May 1795 and arrest, but he returned there, accompanied by a guard, to recuperate after his second and final release in August.	Who returned there?	he
		Madame Sriziat is shown in an interior setting with her young son, having just returned from a walk.	Who has just returned from a walk?	her young son
		Madame Sriziat is shown in an interior setting with her young son, having just returned from a walk.	What is Madame Sriziat shown in?	in an interior setting with her young son
		Madame Sriziat is shown in an interior setting with her young son, having just returned from a walk.	Where is Madame Sriziat shown?	in an interior setting with her young son
		Her cheeks are ruddy and she carries a recently picked bunch of wild flowers which are painted in a lively but meticulous manner.	What are ruddy?	her cheeks
09251-opening.jpg	The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building (Schepenhuis) in Mechelen on January 3, 1474.			
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	Who does the painting depict the ceremonial opening of the Parliament of Mechelen under in the Aldermen's Building in Mechelen on January 3,1474?	under Charles the Bold
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	Who is Charles the Bold?	Duke of Burgundy
		The painting depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold, Duke of Burgundy, in the Aldermen's Building in Mechelen on January 3,1474.	What depicts the ceremonial opening of the Parliament of Mechelen under Charles the Bold in the Aldermen's Building in Mechelen on January 3,1474?	the painting
